,target,value_count
3185,shook,3
3186,Big,3
3187,Still,3
3188,Madame,3
3189,Stevie,3
3190,destination,3
3191,safeguard,3
3192,invariably,3
3193,illusion,3
3194,ignored,3
3195,shed,3
3196,mouth-organ,3
3197,states,3
3198,vague,3
3199,Left-wing,3
3200,SIR,3
3201,salary,3
3202,greeted,3
3203,Accra,3
3204,processes,3
3205,rejection,3
3206,Starmouth,3
3207,laughter,3
3208,sold,3
3209,skill,3
3210,recall,3
3211,items,3
3212,concrete,3
3213,presented,3
3214,resolution,3
3215,Did,3
3216,seated,3
3217,Solomon,3
3218,cup,3
3219,handsome,3
3220,pair,3
3221,personnel,3
3222,load,3
3223,MOST,3
3224,response,3
3225,rights,3
3226,composed,3
3227,measure,3
3228,locked,3
3229,teenagers,3
3230,Virginia,3
3231,hull,3
3232,cinematic,3
3233,enjoyment,3
3234,contraction,3
3235,iron,3
3236,Russian,3
3237,markets,3
3238,kisses,3
3239,street,3
3240,campaigns,3
3241,ranges,3
3242,enthusiasm,3
3243,outlying,3
3244,cheapness,3
3245,peoples,3
3246,GAMBA,3
3247,passes,3
3248,Bassius,3
3249,sky,3
3250,oyster,3
3251,creating,3
3252,Scottish,3
3253,rat,3
3254,image,3
3255,apex,3
3256,divine,3
3257,minimum,3
3258,drag,3
3259,spawn,3
3260,legislation,3
3261,Island,3
3262,polite,3
3263,intelligent,3
3264,baths,3
3265,Hotel,3
3266,tigerfly,3
3267,familiar,3
3268,Surely,3
3269,battered,3
3270,Edinburgh,3
3271,strain,3
3272,evident,3
3273,terrible,3
3274,yeomen,3
3275,shoulder,3
3276,forefinger,3
3277,values,3
3278,tempted,3
3279,Heath,3
3280,casual,3
3281,sergeant,3
3282,biological,3
3283,reopened,3
3284,Ormston,3
3285,wanting,3
3286,relatives,3
3287,Cabinet,3
3288,40,3
3289,observe,3
3290,substitute,3
3291,bay,3
3292,earnings,3
3293,Use,3
3294,bringing,3
3295,leads,3
3296,status,3
3297,hearing,3
3298,Burge,3
3299,touching,3
3300,pre-,3
3301,storm,3
3302,purely,3
3303,angry,3
3304,Waterloo,3
3305,dipped,3
3306,Anyway,3
3307,IT,3
3308,Loch,3
3309,gear,3
3310,drawn,3
3311,pet,3
3312,accidental,3
3313,club,3
3314,unwise,3
3315,beer,3
3316,dropped,3
3317,Moke,3
3318,cylindrical,3
3319,unto,3
3320,Mark's,3
3321,aspects,3
3322,lose,3
3323,luck,3
3324,mild,3
3325,climbed,3
3326,pencil,3
3327,Majesty's,3
3328,36,3
3329,bell,3
3330,Courier,3
3331,apparently,3
3332,Welwyn,3
3333,Kennan,3
3334,Tuesday,3
3335,planning,3
3336,threw,3
3337,letting,3
3338,departed,3
3339,policies,3
3340,struck,3
3341,rough,3
3342,rank,3
3343,kit,3
3344,Antonioni,3
3345,president,3
3346,Gubbins,3
3347,pocket,3
3348,Trouble,3
3349,estimated,3
3350,fastened,3
3351,interval,3
3352,related,3
3353,intervals,3
3354,tone,3
3355,conceived,3
3356,announcement,3
3357,Much,3
3358,Uganda,3
3359,procedure,3
3360,stamp,3
3361,wholly,3
3362,Evans,3
3363,luxury,3
3364,consisting,3
3365,exciting,3
3366,unlikely,3
3367,data,3
3368,Figure,3
3369,tongue,3
3370,narrow,3
3371,dress,3
3372,dance,3
3373,hopefully,3
3374,Geoffrey,3
3375,climbing,3
3376,selected,3
3377,layer,3
3378,fatal,3
3379,coloured,3
3380,mixed,3
3381,edges,3
3382,spot,3
3383,visionary,3
3384,carnival,3
3385,Immediately,3
3386,S.,3
3387,"400,000",3
3388,violent,3
3389,dawn,3
3390,reminded,3
3391,debt,3
3392,Cherbourg,3
3393,insisting,3
3394,weapon,3
3395,Opposition,3
3396,broad,3
3397,presentation,3
3398,middle-aged,3
3399,damage,3
3400,chine,3
3401,tsitsits,3
3402,MONEY,3
3403,ships,3
3404,aide,3
3405,addressed,3
3406,IF,3
3407,assumed,3
3408,hundreds,3
3409,Actually,3
3410,readily,3
3411,comedy,3
3412,beta,3
3413,adolescents,3
3414,prop,3
3415,sources,3
3416,contents,3
3417,cupboard,3
3418,tremendous,3
3419,Herbert,3
3420,starting,3
3421,poll,3
3422,signs,3
3423,chaos,3
3424,repeating,3
3425,disposed,3
3426,pianist,3
3427,recommended,3
3428,occur,3
3429,thumb,3
3430,stone,3
3431,greeting,3
3432,Retirement,3
3433,responsibility,3
3434,replies,3
3435,defended,3
3436,Is,3
3437,awaited,3
3438,Group,3
3439,heating,3
3440,boiling,3
3441,weeks,3
3442,fun,3
3443,presumably,3
3444,tape,3
3445,scientific,3
3446,examined,3
3447,ments,3
3448,widespread,3
3449,Dominion,3
3450,impaired,3
3451,preserved,3
3452,spear,3
3453,equivalent,3
3454,absolute,3
3455,string,3
3456,Nicholas,3
3457,cookery,3
3458,risen,3
3459,poetry,3
3460,Friday,3
3461,nowadays,3
3462,Formula,3
3463,60,3
3464,bachelor,3
3465,Hatfield,3
3466,locally,3
3467,rang,3
3468,intellectual,3
3469,boats,3
3470,Nazi,3
3471,desert,3
3472,fishing,3
3473,St,3
3474,laying,3
3475,Caine,3
3476,Whatever,3
3477,sited,3
3478,Daily,3
3479,patients,3
3480,urged,3
3481,initial,3
3482,supported,3
3483,dangers,3
3484,Joy,3
3485,Robbie,3
3486,inches,3
3487,sizes,3
3488,points,3
3489,etc.,3
3490,advertisement,3
3491,demonstrators,3
3492,suspected,3
3493,uncommitted,3
3494,moves,3
3495,Calais,3
3496,parades,3
3497,niobium,3
3498,magnitude,3
3499,covered,3
3500,laid,3
3501,differences,3
3502,Thursday,3
3503,400,3
3504,scared,3
3505,unilateral,3
3506,army,3
3507,lights,3
3508,eruption,3
3509,reversed,3
3510,negotiate,3
3511,recording,3
3512,territory,3
3513,paragraph,3
3514,Kaunda,3
3515,spends,3
3516,heroin,3
3517,Krushchov,3
3518,relatively,3
3519,moodily,3
3520,collar,3
3521,returning,3
3522,earn,3
3523,natives,3
3524,sorry,3
3525,passengers,3
3526,herbs,3
3527,fashion,3
3528,trust,3
3529,prior,3
3530,curtain,3
3531,division,3
3532,abroad,3
3533,income,3
3534,tied,3
3535,institution,3
3536,bewildered,3
3537,ear,3
3538,passage,3
3539,eventually,3
3540,furnished,3
3541,falls,3
3542,Tom,3
3543,federal,3
3544,battle,3
3545,flats,3
3546,candidate,3
3547,trading,3
3548,22,3
3549,respectively,3
3550,woman's,3
3551,Deep,3
3552,Verwoerd,3
3553,length,3
3554,shivering,3
3555,dull,3
3556,roasted,3
3557,serving,3
3558,Belgrade,3
3559,migrations,3
3560,politicians,3
3561,urgent,3
3562,Hayball,3
3563,tablecloths,3
3564,commerce,3
3565,gardeners,3
3566,Socialist,3
3567,monstrous,3
3568,lucky,3
3569,speaking,3
3570,vacuum,3
3571,session,3
3572,comprehensive,3
3573,alleged,3
3574,'em,3
3575,militarists,3
3576,Trades,3
3577,quiet,3
3578,Good,3
3579,send,3
3580,threads,3
3581,tin,3
3582,motion,3
3583,standard,3
3584,populations,3
3585,ward,3
3586,transoms,3
3587,dying,3
3588,corner,3
3589,Spanish,3
3590,gas,3
3591,hiding-place,3
3592,expression,3
3593,dealt,3
3594,Inspector,3
3595,citizen,3
3596,nearer,3
3597,protests,3
3598,joining,3
3599,designs,3
3600,solely,3
3601,Mansell,3
3602,enquired,3
3603,supplies,3
3604,architect,3
3605,Parties,3
3606,bald,3
3607,Willis,3
3608,Towards,3
3609,entrance,3
3610,despite,3
3611,Obviously,3
3612,offering,3
3613,Kenneth,3
3614,successive,3
3615,seventy,3
3616,50,3
3617,horses,3
3618,Queen,3
3619,underpinning,3
3620,tries,3
3621,Local,3
3622,bird,3
3623,affection,3
3624,Southern,3
3625,consisted,3
3626,tour,3
3627,sweat,3
3628,investors,3
3629,display,3
3630,won,3
3631,accurate,3
3632,mistresses,3
3633,allowances,3
3634,H-bomb,3
3635,opponents,3
3636,confidence,3
3637,amazing,3
3638,resources,3
3639,outcome,3
3640,demonstrated,3
3641,equipped,3
3642,venture,3
3643,ate,3
3644,severe,3
3645,detail,3
3646,soft,3
3647,golden,3
3648,individuals,3
3649,helping,3
3650,salt,3
3651,committees,3
3652,automatically,3
3653,voltage,3
3654,satisfied,3
3655,substitutes,3
3656,peers,3
3657,Old,3
3658,Assistance,3
3659,temperatures,3
3660,flour,3
3661,AT,3
3662,stated,3
3663,nomination,3
3664,lit,3
3665,brass,3
3666,determining,3
3667,1/4,3
3668,Other,3
3669,mistake,3
3670,exhausted,3
3671,sexual,3
3672,Money,3
3673,Mission,3
3674,stayed,3
3675,Sidney,3
3676,nervous,3
3677,furniture,3
3678,sale,3
3679,potential,3
3680,Israel,3
3681,boldly,3
3682,doorway,3
3683,natural,3
3684,serious,3
3685,inter-,3
3686,enquiry,3
3687,Suddenly,3
3688,plot,3
3689,thin,3
3690,repeated,3
3691,carriage,3
3692,July,3
3693,Talmud,3
3694,charged,3
3695,proposals,3
3696,compact,3
3697,Ben,3
3698,sparked,3
3699,daughters,3
3700,anti-Negro,3
3701,stars,3
3702,journalist,3
3703,deprived,3
3704,adjust,3
3705,finish,3
3706,ply,3
3707,subtle,3
3708,valley,3
3709,generations,3
3710,ONLY,3
3711,concluded,3
3712,classes,3
3713,Croydon,3
3714,meals,3
3715,counted,3
3716,dropping,3
3717,walking,3
3718,sealed,3
3719,tion,3
3720,ends,3
3721,formed,3
3722,authors,3
3723,dollar,3
3724,Babel,3
3725,basket,3
3726,balanced,3
3727,pleasures,3
3728,pound,3
3729,strongly,3
3730,doubts,3
3731,drive,3
3732,according,3
3733,parade,3
3734,passenger,3
3735,bankrupt,3
3736,cleaned,3
3737,fascinating,3
3738,82,3
3739,title,3
3740,babies,3
3741,dependence,3
3742,Load,3
3743,blonde,3
3744,toe,3
3745,thesis,3
3746,desired,3
3747,Nkrumah,3
3748,captured,3
3749,continued,3
3750,elderly,3
3751,involve,3
3752,perfectly,3
3753,consumed,3
3754,Jesus,2
3755,black-,2
3756,dancing,2
3757,sharing,2
3758,verge,2
3759,continues,2
3760,booklet,2
3761,bitterness,2
3762,Aristotle,2
3763,THERE,2
3764,worry,2
3765,glorious,2
3766,marrying,2
3767,39,2
3768,Rabbi,2
3769,solicitor,2
3770,spruce,2
3771,contemplate,2
3772,elastic,2
3773,bulge,2
3774,incidentally,2
3775,ceived,2
3776,disease,2
3777,religious,2
3778,partners,2
3779,Name,2
3780,considerably,2
3781,postponed,2
3782,clerical,2
3783,peculiar,2
3784,consistent,2
3785,sown,2
3786,summons,2
3787,verbal,2
3788,impatient,2
3789,cuff-links,2
3790,oldest,2
3791,sea-bed,2
3792,Eichmann,2
3793,schoolmaster,2
3794,differed,2
3795,effects,2
3796,Independence,2
3797,Hobhouse,2
3798,bits,2
3799,GOOD,2
3800,Mercer,2
3801,laboratories,2
3802,fruits,2
3803,radio-lead,2
3804,Throughout,2
3805,Seven,2
3806,visible,2
3807,dangled,2
3808,yellow,2
3809,section,2
3810,thousands,2
3811,hurled,2
3812,entire,2
3813,increasingly,2
3814,Jacob,2
3815,analytical,2
3816,unrepentance,2
3817,request,2
3818,recorded,2
3819,fuss,2
3820,volumes,2
3821,imposed,2
3822,daily,2
3823,ruthless,2
3824,barrier,2
3825,daytime,2
3826,finer,2
3827,millionaire,2
3828,rocky,2
3829,consideration,2
3830,Streak,2
3831,preserve,2
3832,hatred,2
3833,listed,2
3834,des,2
3835,unfailing,2
3836,loose,2
3837,responded,2
3838,systole,2
3839,broth,2
3840,theoretical,2
3841,artistic,2
3842,mist,2
3843,queue,2
3844,wars,2
3845,taxes,2
3846,grants,2
3847,Williams,2
3848,Roper,2
3849,approaching,2
3850,Any,2
3851,Thanks,2
3852,pestle,2
3853,Force,2
3854,Celestials,2
3855,hairs,2
3856,port,2
3857,votes,2
3858,survived,2
3859,18th,2
3860,manoeuvring,2
3861,foul,2
3862,desperate,2
3863,incidents,2
3864,immortal,2
3865,Can't,2
3866,Law,2
3867,contain,2
3868,substantiated,2
3869,appropriate,2
3870,Manchester,2
3871,newspapers,2
3872,owner's,2
3873,wilful,2
3874,meters,2
3875,wished,2
3876,healing,2
3877,fail,2
3878,opening,2
3879,gaze,2
3880,dispersed,2
3881,Mercer-Crochet,2
3882,dockyard,2
3883,moon,2
3884,Himmler,2
3885,swallowed,2
3886,killing,2
3887,finmarchicus,2
3888,weaken,2
3889,air-to-air,2
3890,ash,2
3891,cultural,2
3892,absent,2
3893,appreciation,2
3894,forcible,2
3895,perfumes,2
3896,23.1,2
3897,mammoth,2
3898,Portsmouth,2
3899,administering,2
3900,organised,2
3901,Hence,2
3902,papyrus,2
3903,MOVE,2
3904,disadvantage,2
3905,Alongside,2
3906,O.K.,2
3907,quarter,2
3908,constituencies,2
3909,horizontal,2
3910,looming,2
3911,Penh,2
3912,Evadne,2
3913,Hounslow,2
3914,thirsty,2
3915,Marriage-Go-Round,2
3916,Brown's,2
3917,unfortunate,2
3918,alarmed,2
3919,chapel,2
3920,certificate,2
3921,principles,2
3922,departmental,2
3923,primary,2
3924,Barton,2
3925,Divine,2
3926,violence,2
3927,indicates,2
3928,Belleray,2
3929,intervention,2
3930,previously,2
3931,respects,2
3932,issued,2
3933,lizards,2
3934,poker,2
3935,positive,2
3936,innumerable,2
3937,gypsy,2
3938,Makarios,2
3939,dies,2
3940,simplified,2
3941,salaries,2
3942,systematic,2
3943,Hebrew,2
3944,transport,2
3945,equal,2
3946,swamped,2
3947,waxed,2
3948,resorted,2
3949,kid,2
3950,toy,2
3951,beneath,2
3952,Judy,2
3953,Louisiana,2
3954,avert,2
3955,helpless,2
3956,ashore,2
3957,emptiness,2
3958,Manufacturing,2
3959,hide,2
3960,editorial,2
3961,stove,2
3962,roots,2
3963,Vieng,2
3964,bathroom,2
3965,margin,2
3966,brilliantly,2
3967,race,2
3968,Street,2
3969,Omnibus,2
3970,easterly,2
3971,stylus,2
3972,checked,2
3973,depending,2
3974,slaves,2
3975,3rd,2
3976,erotic,2
3977,E,2
3978,ample,2
3979,vapours,2
3980,ruins,2
3981,paradise,2
3982,recommendation,2
3983,seized,2
3984,bowed,2
3985,commotion,2
3986,inquiry,2
3987,dashed,2
3988,Green,2
3989,wishes,2
3990,spin,2
3991,Luke,2
3992,sooner,2
3993,amongst,2
3994,hooks,2
3995,reduction,2
3996,female,2
3997,worthy,2
3998,impulse,2
3999,fetch,2
4000,adults,2
4001,civilisation,2
4002,insensitively,2
4003,alternatives,2
4004,superintendent,2
4005,Shinwell,2
4006,printed,2
4007,beset,2
4008,inborn,2
4009,binding,2
4010,limitation,2
4011,proud,2
4012,JOHN,2
4013,clutch,2
4014,invite,2
4015,Through,2
4016,vibrations,2
4017,ascertained,2
4018,innocent,2
4019,B.S.P.,2
4020,notification,2
4021,feminine,2
4022,fumbled,2
4023,bats,2
4024,gusto,2
4025,implacable,2
4026,in-,2
4027,Its,2
4028,conveyor,2
4029,monthly,2
4030,vote,2
4031,warranted,2
4032,mountains,2
4033,spread,2
4034,Juan,2
4035,Unity,2
4036,pier,2
4037,Londoners,2
4038,peculiarity,2
4039,Constitution,2
4040,Long,2
4041,Madeleine,2
4042,warmth,2
4043,answered,2
4044,interview,2
4045,Achilles,2
4046,Particular,2
4047,appealed,2
4048,supreme,2
4049,embers,2
4050,habits,2
4051,appalling,2
4052,acted,2
4053,Lollobrigida,2
4054,LORD,2
4055,delivered,2
4056,Presbyterian,2
4057,unexpected,2
4058,neighbourhoods,2
4059,Investigation,2
4060,1.4,2
4061,foodstuffs,2
4062,forth,2
4063,button,2
4064,plates,2
4065,joint,2
4066,Blockhouse,2
4067,End,2
4068,dietary,2
4069,nail,2
4070,environs,2
4071,eve,2
4072,CARLYLE,2
4073,destroy,2
4074,cloak,2
4075,Abou,2
4076,Appa,2
4077,speculators,2
4078,recalling,2
4079,stout,2
4080,novel,2
4081,fisheries,2
4082,department,2
4083,bombers,2
4084,agriculture,2
4085,formally,2
4086,diet,2
4087,blame,2
4088,revised,2
4089,reach,2
4090,India,2
4091,sessions,2
4092,professional,2
4093,Blue,2
4094,folded,2
4095,resignation,2
4096,Using,2
4097,caress,2
4098,Schemes,2
4099,Services,2
4100,Luke's,2
4101,yards,2
4102,orgy,2
4103,15,2
4104,outbuilding,2
4105,disorder,2
4106,Treaty,2
4107,BYRON,2
4108,strip,2
4109,knob,2
4110,B14,2
4111,target,2
4112,fair,2
4113,disorderly,2
4114,Oum,2
4115,scanner,2
4116,capacity,2
4117,Clark,2
4118,offended,2
4119,wealth,2
4120,VERDICT,2
4121,WHICH,2
4122,Distribution,2
4123,loyalty,2
4124,placid,2
4125,Borstal,2
4126,receive,2
4127,Sussex,2
4128,messages,2
4129,Berlin's,2
4130,charms,2
4131,headstrong,2
4132,rented,2
4133,buck,2
4134,perpetual,2
4135,1911,2
4136,monk,2
4137,sixty,2
4138,Canadian,2
4139,Point,2
4140,irritable,2
4141,rudely,2
4142,vacancies,2
4143,rabbit,2
4144,hut,2
4145,school-leaving,2
4146,frequent,2
4147,pricked,2
4148,disappointing,2
4149,nearing,2
4150,Jews,2
4151,shotgun,2
4152,gunwales,2
4153,warning,2
4154,traveller,2
4155,sections,2
4156,promised,2
4157,Oral,2
4158,baker,2
4159,Czechoslovak,2
4160,positions,2
4161,exceeded,2
4162,weights,2
4163,Adam,2
4164,neck,2
4165,red-hot,2
4166,teaching,2
4167,fittings,2
4168,districts,2
4169,reservoir,2
4170,surprising,2
4171,fortnight,2
4172,Brunswick,2
4173,publicity,2
4174,Strong,2
4175,impatiently,2
4176,unopposed,2
4177,W.C.U.,2
4178,hesitation,2
4179,texture,2
4180,striving,2
4181,massed,2
4182,bill,2
4183,Flying,2
4184,Boy,2
4185,benches,2
4186,novelty,2
4187,credit,2
4188,rush,2
4189,increases,2
4190,wages,2
4191,weekend,2
4192,citizens,2
4193,awareness,2
4194,eligible,2
4195,Bible,2
4196,commitments,2
4197,phenomena,2
4198,learning,2
4199,Reading,2
4200,bomb,2
4201,imaginative,2
4202,GENERAL,2
4203,7.42,2
4204,wits,2
4205,seine,2
4206,Tito,2
4207,bend,2
4208,predetermined,2
4209,coarse,2
4210,dreadful,2
4211,precise,2
4212,24,2
4213,partial,2
4214,proclaimed,2
4215,utmost,2
4216,eyed,2
4217,betrayal,2
4218,palm,2
4219,cups,2
4220,brandy,2
4221,tending,2
4222,comparing,2
4223,anger,2
4224,south,2
4225,educate,2
4226,authorised,2
4227,Tradition,2
4228,bloodstained,2
4229,nightmare,2
4230,ringing,2
4231,scattered,2
4232,rattled,2
4233,roof,2
4234,Kim,2
4235,firemen,2
4236,Exchange,2
4237,suffered,2
4238,Magyar,2
4239,causes,2
4240,Philips,2
4241,MR,2
4242,Trade,2
4243,Sea,2
4244,inquisitively,2
4245,learner,2
4246,GRAHAM,2
4247,coast,2
4248,prescribed,2
4249,fingerprint,2
4250,obtaining,2
4251,fication,2
4252,resulting,2
4253,IAIN,2
4254,unsuccessful,2
4255,Rolls-Royce,2
4256,bitterly,2
4257,tent,2
4258,diverting,2
4259,rallied,2
4260,annoyed,2
4261,arrives,2
4262,Peterlee,2
4263,whispered,2
4264,anomalous,2
4265,personally,2
4266,Welsh,2
4267,optimism,2
4268,pleasing,2
4269,husband's,2
4270,sub-centres,2
4271,tender,2
4272,tread,2
4273,grosser,2
4274,aversion,2
4275,ration,2
4276,benefits,2
4277,"3,000",2
4278,orderly,2
4279,independence,2
4280,urns,2
4281,Thorneycroft's,2
4282,tendency,2
4283,precision,2
4284,Hone,2
4285,imports,2
4286,reverence,2
4287,upset,2
4288,logical,2
4289,Co.,2
4290,flowering,2
4291,mistress,2
4292,furnish,2
4293,keen,2
4294,achieved,2
4295,Die,2
4296,feed,2
4297,finding,2
4298,two-adult,2
4299,er,2
4300,disdain,2
4301,ding,2
4302,staring,2
4303,beaming,2
4304,Passion,2
4305,performed,2
4306,responsibilities,2
4307,courage,2
4308,warm-hearted,2
4309,Vienne,2
4310,enduring,2
4311,daring,2
4312,likes,2
4313,Phil,2
4314,playwright,2
4315,Bavaria,2
4316,A.,2
4317,pantry,2
4318,Lisbon,2
4319,needy,2
4320,AFTER,2
4321,wards,2
4322,borrowed,2
4323,Poland,2
4324,structures,2
4325,shaking,2
4326,glasses,2
4327,strangle,2
4328,singing,2
4329,reservoirs,2
4330,farewell,2
4331,mystery,2
4332,feast,2
4333,composer,2
4334,schemes,2
4335,earned,2
4336,possesses,2
4337,breathing,2
4338,indicator,2
4339,affords,2
4340,smashed,2
4341,machinery,2
4342,Shepard,2
4343,quit,2
4344,GERMANY,2
4345,commodities,2
4346,43,2
4347,youth,2
4348,latest,2
4349,ture,2
4350,28.5,2
4351,loses,2
4352,acres,2
4353,liter,2
4354,Governors,2
4355,shaping,2
4356,impose,2
4357,Missolonghi,2
4358,stranger,2
4359,publication,2
4360,saucers,2
4361,automatic,2
4362,edifice,2
4363,percent,2
4364,detect,2
4365,fawning,2
4366,remainder,2
4367,dullness,2
4368,lawyers,2
4369,compiled,2
4370,seedy,2
4371,pests,2
4372,gratification,2
4373,owing,2
4374,bent,2
4375,lacking,2
4376,agitation,2
4377,prays,2
4378,Angelina,2
4379,notches,2
4380,description,2
4381,lead-212,2
4382,thankful,2
4383,glory,2
4384,Wicki's,2
4385,realise,2
4386,exceptionally,2
4387,honest,2
4388,writers,2
4389,shopkeeper,2
4390,biscuits,2
4391,WOULD,2
4392,Bridge,2
4393,overlook,2
4394,encounters,2
4395,strategy,2
4396,slots,2
4397,onto,2
4398,millions,2
4399,lungs,2
4400,incidence,2
4401,worthwhile,2
4402,identification,2
4403,sprinkles,2
4404,belonged,2
4405,dispatched,2
4406,Werewolves,2
4407,Crochet,2
4408,excellent,2
4409,35,2
4410,settlers',2
4411,determination,2
4412,whatsoever,2
4413,rescue,2
4414,Banks,2
4415,ambulance,2
4416,Thackeray,2
4417,manager,2
4418,dinghy,2
4419,glowered,2
4420,choose,2
4421,imprisoned,2
4422,algae,2
4423,roasting,2
4424,outwardly,2
4425,pride,2
4426,excluding,2
4427,Douglas,2
4428,rifle,2
4429,publishers,2
4430,dollars,2
4431,writer,2
4432,rounded,2
4433,holds,2
4434,procession,2
4435,fires,2
4436,practically,2
4437,distilled,2
4438,understanding,2
4439,armed,2
4440,Bella,2
4441,purchased,2
4442,gloves,2
4443,headlines,2
4444,ingenious,2
4445,chat,2
4446,Diocesan,2
4447,riding,2
4448,trader,2
4449,mysteries,2
4450,differently,2
4451,Film,2
4452,cally,2
4453,ference,2
4454,warned,2
4455,shapes,2
4456,Govr.,2
4457,enemy,2
4458,Police,2
4459,garage,2
4460,vigour,2
4461,gallon,2
4462,reign,2
4463,Greenwich,2
4464,activities,2
4465,communities,2
4466,55,2
4467,instruments,2
4468,elementary,2
4469,representations,2
4470,Serena,2
4471,brows,2
4472,organized,2
4473,alternative,2
4474,migrating,2
4475,incident,2
4476,precautions,2
4477,senses,2
4478,improving,2
4479,tiny,2
4480,manual,2
4481,Continent,2
4482,fainting,2
4483,congregation,2
4484,budge,2
4485,quotes,2
4486,bottled,2
4487,Compa.,2
4488,cloth,2
4489,32,2
4490,Report,2
4491,wake,2
4492,sensible,2
4493,extravagant,2
4494,shocking,2
4495,1thy,2
4496,footing,2
4497,finishing,2
4498,actual,2
4499,reactions,2
4500,grimly,2
4501,snapped,2
4502,Brentano,2
4503,photographs,2
4504,exists,2
4505,potatoes,2
4506,internal,2
4507,G,2
4508,properly,2
4509,framing,2
4510,shirt,2
4511,clothes,2
4512,RUSSELL,2
4513,Festival,2
4514,bustle,2
4515,spirit,2
4516,Chester,2
4517,Corby,2
4518,hypnosis,2
4519,well-known,2
4520,organizing,2
4521,crouched,2
4522,stable,2
4523,weak,2
4524,Marshall,2
4525,primitive,2
4526,Kings,2
4527,Joyce,2
4528,pro-,2
4529,Augusta's,2
4530,engagement,2
4531,Same,2
4532,Again,2
4533,Dee,2
4534,Mum,2
4535,test,2
4536,satisfy,2
4537,Diocese,2
4538,retired,2
4539,cut-rate,2
4540,unfair,2
4541,careless,2
4542,Isaac,2
4543,fall-out,2
4544,elegant,2
4545,kings,2
4546,Lucky,2
4547,jealous,2
4548,convulsed,2
4549,breaks,2
4550,attended,2
4551,Conservatives,2
4552,distorted,2
4553,groaned,2
4554,Sol.,2
4555,carcase,2
4556,Marie,2
4557,embrace,2
4558,consultations,2
4559,edgings,2
4560,contemplated,2
4561,grandchildren,2
4562,grows,2
4563,feared,2
4564,weakness,2
4565,Gaitskellites,2
4566,shopkeepers,2
4567,M.P.s,2
4568,caricature,2
4569,joints,2
4570,invention,2
4571,species,2
4572,Director,2
4573,elaborate,2
4574,glimmer,2
4575,heritage,2
4576,34,2
4577,manners,2
4578,floors,2
4579,clash,2
4580,findings,2
4581,sparkling,2
4582,TUC,2
4583,belief,2
4584,midnight,2
4585,BEFORE,2
4586,Outside,2
4587,promontory,2
4588,centigrade,2
4589,nowhere,2
4590,Mad,2
4591,FLETCHER,2
4592,preserves,2
4593,wickets,2
4594,17,2
4595,Ellender,2
4596,dreary,2
4597,maybe,2
4598,lettings,2
4599,statesmen,2
4600,conducted,2
4601,unchanged,2
4602,Brendan,2
4603,struggle,2
4604,hardest,2
4605,shining,2
4606,raw,2
4607,accounts,2
4608,arrive,2
4609,reckon,2
4610,Anson,2
4611,compromised,2
4612,Dead,2
4613,aluminium,2
4614,trifle,2
4615,carbonate,2
4616,27,2
4617,Princess,2
4618,Christmas,2
4619,Muggeridge's,2
4620,builds,2
4621,aliquots,2
4622,Xieng,2
4623,remark,2
4624,respect,2
4625,treaty,2
4626,rows,2
4627,Harlow,2
4628,existed,2
4629,unpopular,2
4630,fighter,2
4631,hiding,2
4632,occasional,2
4633,aides,2
4634,Roddy,2
4635,thunder,2
4636,Altar,2
4637,Thank,2
4638,revived,2
4639,villa,2
4640,trounced,2
4641,Columbia,2
4642,treacle,2
4643,Arterial,2
4644,elected,2
4645,Freddie,2
4646,earthenware,2
4647,stewed,2
4648,precipitates,2
4649,Austrian,2
4650,white-faced,2
4651,formality,2
4652,tears,2
4653,accordingly,2
4654,gauged,2
4655,crane,2
4656,bowl,2
4657,depths,2
4658,icily,2
4659,suspicion,2
4660,pulling,2
4661,GO,2
4662,achieve,2
4663,functions,2
4664,startled,2
4665,badge,2
4666,furnishings,2
4667,deserted,2
4668,cheeks,2
4669,swept,2
4670,contribution,2
4671,nazi,2
4672,cheese,2
4673,silvery,2
4674,fashioned,2
4675,grossness,2
4676,stupid,2
4677,curling,2
4678,nonsense,2
4679,reporter,2
4680,jeers,2
4681,jailed,2
4682,restive,2
4683,typical,2
4684,heavens,2
4685,gastronomy,2
4686,reveals,2
4687,fan,2
4688,brother's,2
4689,V's,2
4690,executive,2
4691,inner,2
4692,Wandsworth,2
4693,speeches,2
4694,Nkrumah's,2
4695,superfluous,2
4696,frozen,2
4697,aimed,2
4698,suit,2
4699,economy,2
4700,resistance,2
4701,composition,2
4702,departments,2
4703,unusual,2
4704,justice,2
4705,champion,2
4706,escape,2
4707,cleared,2
4708,applying,2
4709,ceiling,2
4710,nailed,2
4711,nominating,2
4712,switch,2
4713,commit,2
4714,octopus,2
4715,circling,2
4716,derive,2
4717,Charlie,2
4718,one's,2
4719,slice,2
4720,atoms,2
4721,founded,2
4722,relationship,2
4723,blinked,2
4724,preventing,2
4725,country's,2
4726,Korean,2
4727,composers,2
4728,fees,2
4729,Note,2
4730,arranging,2
4731,ensured,2
4732,specified,2
4733,fleeing,2
4734,Spain,2
4735,newspaper,2
4736,immense,2
4737,desperation,2
4738,yours,2
4739,overseas,2
4740,Probably,2
4741,milligrams,2
4742,compounds,2
4743,Andrew,2
4744,amusing,2
4745,savage,2
4746,rolled,2
4747,secures,2
4748,Oversew,2
4749,Deane,2
4750,radio,2
4751,tapered,2
